Samples,PriTuber.C
15060021,8
15060027,29
15060039,28
15060042,26
15060050,28
15060056,47
15060063,29
15060070,8
15060072,40
15060082,42
15060085,11
15060097,35
15060101,26
15060102,29
15060110,16
15060112,29
15060114,33
15060120,42
15060121,16
15060122,33
15060138,39
15060160,33
15060187,16
15060188,40
15060190,32
15060191,41
15060215,29
15060313,45
15060345,42
15060383,35
15060420,37
15060543,32
15060570,47
15060797,19
15060846,32
15060907,43
15060909,35
15060910,39
15061007,33
15061011,42
15061122,33
15061204,11
15061213,29
15061215,28
15061216,11
15061225,33
15061226,41
15061237,39
15061256,11
15061257,39
15061258,11
15061259,8
15061261,41
15061262,28
15061263,16
15061264,35
15061265,29
15061270,39
15061271,11
15061273,39
15061274,37
15061277,41
15061279,29
15061281,37
15061283,28
15061286,29
15061288,35
15061289,32
15061290,42
15061291,37
15061293,57
15061295,29
15061296,8
15061297,8
15061298,43
15061300,42
15061301,32
15061302,11
15061303,42
15061305,41
15061307,16
15061312,39
15061313,35
15061314,33
15061317,33
15061320,41
15061323,37
15061324,32
15061327,37
15061329,11
15061330,35
15061331,35
15061335,35
15061336,23
15061340,39
15061342,29
15061344,36
15061345,37
15061346,32
15061347,36
15061349,32
15061352,47
15061353,29
15061355,19
15061360,23
15061364,29
15061365,32
15061367,29
15061368,24
15061369,20
15061370,37
15061377,47
15061378,47
15061380,37
15061382,26
15061383,29
15061384,11
15061385,11
15061386,16
15061388,29
15061389,11
15061390,11
15061392,25
15061394,26
15061396,8
15061404,11
15061406,28
15061410,37
15061411,26
15061414,47
15061415,37
15061417,8
15061418,47
15061419,8
15061420,47
15061421,28
15061422,16
15061423,29
15061424,16
15061425,32
15061430,37
15061434,29
15061435,37
15061436,47
15061437,42
15061438,8
15061439,47
15061441,42
15061442,20
15061443,47
15061444,19
15061445,42
15061447,28
15061453,8
15061458,39
15061459,8
15061461,42
15061462,47
15061463,16
15061469,36
15061470,26
15061471,36
15061475,29
15061477,8
15061478,8
15061479,28
15061480,42
15061481,47
15061482,42
15061484,35
15061485,42
15061487,16
15061488,11
15061489,16
15061490,16
15061492,11
15061493,29
15061495,29
15061498,8
15061500,42
15061501,36
15061503,26
15061504,26
15061505,39
15061507,32
15061508,42
15061509,11
15061511,8
15061514,37
15061516,32
15061517,29
15061518,29
15061520,28
15061521,29
15061523,16
15061524,11
15061525,36
15061526,19
15061528,32
15061530,16
15061533,16
15061534,11
15061535,28
15061536,8
15061537,29
15061538,11
15061539,35
15061542,19
15061543,32
15061546,8
15061549,11
15061550,19
15061551,41
15061553,37
15061555,39
15061556,42
15061557,35
15061561,42
15061564,56
15061565,35
15061566,8
15061567,47
15061571,37
15061575,46
15061576,35
15061577,11
15061580,19
15061585,16
15061586,42
15061588,29
15061601,8
15061602,35
15061604,34
15061608,26
15061609,19
15061610,16
15061614,28
15061621,32
15061622,47
15061626,8
15061627,32
15061628,36
15061629,41
15061630,11
15061632,29
15061633,36
15061638,35
15061639,28
15061640,8
15061641,28
15061642,25
15061645,8
15061646,29
15061649,28
15061650,42
15061651,28
15061653,35
15061654,26
15061658,36
15061659,36
15061665,37
15061666,36
15061667,28
15061668,35
15061669,47
15061670,32
15061671,28
15061673,42
15061677,11
15061678,11
15061679,29
15061680,28
15061682,35
15061683,35
15061684,28
15061686,16
15061687,8
15061688,19
15061690,8
15061702,42
15061706,26
15061707,43
15061709,47
15061712,11
15061714,6
15061717,16
15061719,33
15061720,32
15061722,19
15061723,35
15061724,22
15061725,34
15061726,34
15061729,29
15061733,37
15061734,34
15061735,36
15061736,42
15061737,32
15061738,11
15061740,11
15061744,40
15061747,33
15061751,33
15061752,22
15061753,43
15061754,47
15061755,16
15061756,16
15061757,29
15061758,19
15061760,33
15061761,32
15061762,16
15061764,35
15061766,47
15061769,34
15061771,11
15061772,8
15061773,29
15061776,47
15061777,19
15061784,8
15061785,35
15061788,16
15061789,41
15061790,35
15061795,11
15061797,35
15061798,28
15061799,34
15061800,42
15061811,16
15061813,42
15061814,29
15061815,28
15061826,29
15061905,28
15061906,8
15061907,42
15061908,29
15061909,11
15061910,26
15061911,41
15061915,47
15061917,29
15061918,26
15061926,16
15061927,8
15061929,35
15061930,26
15061933,16
15061934,41
15061937,16
15061939,42
15061941,35
15061944,42
15061945,35
15061948,56
15061949,8
15061951,37
15061952,28
15061953,16
15061954,35
15061957,32
15061958,47
15061960,8
15061961,19
15061964,29
15061965,36
15061966,8
15061967,19
15061968,19
15061969,41
15062036,26
15062038,28
15062039,30
15062050,35
15062051,35
15062052,39
15062053,35
15062063,19
15062067,42
15062069,11
15062071,32
15062080,47
15062081,19
15062092,29
15062094,8
15062097,28
15062100,42
15062101,37
15062102,36
15062103,47
15062105,16
15062106,11
15062107,26
15062108,8
15062109,28
15062112,42
15062115,42
15062117,32
15062118,32
15062119,8
15062122,8
15062124,11
15062126,11
15062133,29
15062136,29
15062139,29
15062143,32
15062144,16
15062145,11
15062146,42
15062147,37
15062149,29
15062150,11
15062151,42
15062152,11
15062153,32
15062332,36
15062333,16
15062334,32
15062335,35
15062337,35
15062338,37
15062339,47
15062344,29
15062346,42
15062347,16
15062349,11
15062350,16
15062351,22
15062353,47
15062354,35
15062356,8
15062357,16
15062358,11
15062359,47
15062360,41
15062361,29
15062363,28
15062366,28
15062367,35
15062368,28
15062369,28
15062371,35
