Samples,Tallo.L
15060021,28
15060027,28
15060039,54
15060042,28
15060050,54
15060056,54
15060063,28
15060070,28
15060072,54
15060082,54
15060085,54
15060097,54
15060101,54
15060102,54
15060110,28
15060112,54
15060114,54
15060120,28
15060121,54
15060122,54
15060138,28
15060160,54
15060187,28
15060188,54
15060190,54
15060191,54
15060215,54
15060313,54
15060345,54
15060383,54
15060420,54
15060543,54
15060570,54
15060797,54
15060846,54
15060907,28
15060909,54
15060910,28
15061007,54
15061011,54
15061122,54
15061204,54
15061213,54
15061215,54
15061216,54
15061225,54
15061226,54
15061237,54
15061256,54
15061257,28
15061258,28
15061259,28
15061261,54
15061262,54
15061263,54
15061264,54
15061265,54
15061270,54
15061271,54
15061273,54
15061274,54
15061277,54
15061279,54
15061281,54
15061283,54
15061286,54
15061288,54
15061289,54
15061290,54
15061291,54
15061293,28
15061295,36
15061296,28
15061297,54
15061298,54
15061300,54
15061301,54
15061302,54
15061303,54
15061305,54
15061307,28
15061312,54
15061313,54
15061314,54
15061317,54
15061320,54
15061323,54
15061324,54
15061327,54
15061329,28
15061330,54
15061331,54
15061335,54
15061336,54
15061340,28
15061342,54
15061344,54
15061345,54
15061346,54
15061347,54
15061349,54
15061352,54
15061353,54
15061355,28
15061360,54
15061364,54
15061365,54
15061367,54
15061368,54
15061369,54
15061370,54
15061377,54
15061378,54
15061380,28
15061382,54
15061383,28
15061384,28
15061385,28
15061386,54
15061388,54
15061389,28
15061390,28
15061392,54
15061394,54
15061396,28
15061404,53
15061406,54
15061410,54
15061411,54
15061414,28
15061415,54
15061417,28
15061418,28
15061419,28
15061420,54
15061421,54
15061422,54
15061423,54
15061424,28
15061425,54
15061430,54
15061434,28
15061435,28
15061436,54
15061437,54
15061438,54
15061439,54
15061441,28
15061442,54
15061443,54
15061444,54
15061445,54
15061447,54
15061453,28
15061458,54
15061459,54
15061461,54
15061462,54
15061463,54
15061469,54
15061470,54
15061471,49
15061475,54
15061477,54
15061478,28
15061479,54
15061480,28
15061481,54
15061482,54
15061484,45
15061485,54
15061487,49
15061488,28
15061489,28
15061490,28
15061492,53
15061493,54
15061495,28
15061498,54
15061500,54
15061501,28
15061503,54
15061504,45
15061505,49
15061507,54
15061508,28
15061509,54
15061511,54
15061514,54
15061516,28
15061517,42
15061518,54
15061520,54
15061521,28
15061523,28
15061524,28
15061525,54
15061526,28
15061528,42
15061530,54
15061533,54
15061534,54
15061535,28
15061536,28
15061537,54
15061538,28
15061539,54
15061542,54
15061543,54
15061546,28
15061549,49
15061550,28
15061551,54
15061553,54
15061555,42
15061556,54
15061557,54
15061561,54
15061564,54
15061565,42
15061566,28
15061567,54
15061571,54
15061575,49
15061576,49
15061577,54
15061580,42
15061585,49
15061586,54
15061588,42
15061601,28
15061602,54
15061604,54
15061608,54
15061609,49
15061610,42
15061614,54
15061621,54
15061622,54
15061626,28
15061627,54
15061628,54
15061629,28
15061630,28
15061632,54
15061633,28
15061638,54
15061639,49
15061640,28
15061641,54
15061642,54
15061645,54
15061646,54
15061649,54
15061650,54
15061651,58
15061653,54
15061654,54
15061658,53
15061659,49
15061665,54
15061666,28
15061667,28
15061668,54
15061669,54
15061670,54
15061671,54
15061673,28
15061677,54
15061678,49
15061679,28
15061680,49
15061682,49
15061683,28
15061684,54
15061686,49
15061687,54
15061688,54
15061690,54
15061702,49
15061706,54
15061707,28
15061709,54
15061712,54
15061714,28
15061717,28
15061719,54
15061720,42
15061722,54
15061723,28
15061724,28
15061725,28
15061726,28
15061729,28
15061733,54
15061734,28
15061735,54
15061736,28
15061737,28
15061738,28
15061740,28
15061744,54
15061747,54
15061751,62
15061752,45
15061753,54
15061754,54
15061755,54
15061756,49
15061757,28
15061758,54
15061760,28
15061761,54
15061762,28
15061764,54
15061766,54
15061769,54
15061771,28
15061772,54
15061773,28
15061776,54
15061777,28
15061784,28
15061785,54
15061788,54
15061789,54
15061790,54
15061795,28
15061797,28
15061798,54
15061799,28
15061800,54
15061811,54
15061813,54
15061814,28
15061815,54
15061826,54
15061905,58
15061906,28
15061907,66
15061908,28
15061909,54
15061910,54
15061911,54
15061915,54
15061917,54
15061918,54
15061926,54
15061927,28
15061929,54
15061930,28
15061933,54
15061934,28
15061937,54
15061939,54
15061941,54
15061944,54
15061945,54
15061948,54
15061949,54
15061951,54
15061952,28
15061953,54
15061954,54
15061957,54
15061958,54
15061960,54
15061961,42
15061964,54
15061965,54
15061966,28
15061967,28
15061968,54
15061969,54
15062036,54
15062038,54
15062039,54
15062050,54
15062051,54
15062052,54
15062053,54
15062063,54
15062067,54
15062069,28
15062071,54
15062080,54
15062081,54
15062092,54
15062094,54
15062097,54
15062100,54
15062101,28
15062102,54
15062103,54
15062105,28
15062106,28
15062107,54
15062108,28
15062109,54
15062112,28
15062115,28
15062117,54
15062118,54
15062119,28
15062122,54
15062124,45
15062126,28
15062133,28
15062136,54
15062139,54
15062143,28
15062144,28
15062145,28
15062146,28
15062147,54
15062149,28
15062150,28
15062151,54
15062152,28
15062153,54
15062332,54
15062333,28
15062334,54
15062335,54
15062337,54
15062338,54
15062339,54
15062344,54
15062346,54
15062347,54
15062349,54
15062350,54
15062351,28
15062353,54
15062354,54
15062356,42
15062357,28
15062358,28
15062359,54
15062360,54
15062361,54
15062363,54
15062366,54
15062367,28
15062368,54
15062369,28
15062371,54
