Samples,PriTuber.H
15061942,9
15061763,344
15061801,17
15061494,313
15061613,10
15062137,3
15061319,21
15062142,86
15060320,96
15061768,10
15061522,85
15060081,86
15061656,346
15061759,83
15061928,328
15061454,5
15061605,96
15060087,328
15061619,318
15060090,346
15061731,355
15061655,85
15061661,346
15061499,86
15061647,85
15061612,86
15061742,83
15061710,313
15062372,359
15061583,342
15061767,328
15062130,16
15061637,83
15061337,345
15062104,83
15061579,3
15061932,96
15061603,313
15060025,85
15061704,5
15061334,14
15061631,318
15060964,359
15061778,318
15061718,318
15061486,313
15060214,85
15061333,313
15061962,83
15061624,17
15061282,342
15061529,328
15061935,18
15061568,96
15061491,328
15061318,328
15061361,21
15061515,17
15062123,83
15061358,86
15061428,14
15061496,22
15061648,318
15061808,84
15061600,17
15061730,5
15061623,25
15061405,346
15061299,10
15061578,3
15061476,344
15061765,318
15062111,349
15061397,342
15061713,85
15061584,21
15061912,86
15061260,328
15062099,344
15061350,18
15060933,17
15061548,7
15061348,7
15061560,16
15061544,5
15061449,355
15062348,17
15061916,5
15062138,313
15061946,344
15061676,14
15060536,84
15061391,359
15061662,359
15061228,328
15061356,53
15061963,318
15061338,313
15062331,342
15062098,22
15062114,85
15062046,86
15062370,313
15061685,14
15061540,86
15061721,22
15062074,86
15062362,85
15061689,318
15061357,313
15061376,14
15061308,313
