Samples,SecBrote.H
15061942,318
15061763,318
15061801,41
15061494,318
15061613,318
15062137,41
15061319,344
15062142,41
15060320,41
15061768,318
15061522,344
15060081,344
15061656,344
15061759,318
15061928,318
15061454,41
15061605,318
15060087,344
15061619,318
15060090,318
15061731,318
15061655,41
15061661,318
15061499,318
15061647,41
15061612,318
15061742,41
15061710,318
15062372,318
15061583,318
15061767,41
15062130,318
15061637,318
15061337,318
15062104,41
15061579,41
15061932,41
15061603,318
15060025,318
15061704,41
15061334,318
15061631,41
15060964,318
15061778,318
15061718,318
15061486,318
15060214,318
15061333,318
15061962,41
15061624,41
15061282,318
15061529,318
15061935,41
15061568,41
15061491,318
15061318,41
15061361,318
15061515,318
15062123,41
15061358,318
15061428,41
15061496,318
15061648,318
15061808,41
15061600,318
15061730,318
15061623,318
15061405,41
15061299,318
15061578,41
15061476,41
15061765,41
15062111,318
15061397,318
15061713,41
15061584,41
15061912,318
15061260,41
15062099,41
15061350,41
15060933,318
15061548,318
15061348,318
15061560,318
15061544,41
15061449,318
15062348,41
15061916,318
15062138,41
15061946,318
15061676,318
15060536,318
15061391,316
15061662,41
15061228,318
15061356,318
15061963,41
15061338,318
15062331,344
15062098,41
15062114,318
15062046,318
15062370,41
15061685,318
15061540,353
15061721,318
15062074,41
15062362,41
15061689,318
15061357,41
15061376,318
15061308,318
