SAMPLES,GEBVs(EGBLUP),ACTUAL
15062362,34.10121,36
15061954,34.91893,43
15062339,33.81236,34
15061482,32.2423,33
15062104,32.91605,36
15061707,33.97714,38
15061567,31.63572,43
15061964,26.87696,22
15061488,32.00656,36
15061438,32.01861,26
15061814,39.43997,36
15061721,33.7432,37
15061601,34.11972,23
15061719,26.99534,22
15061629,31.57124,22
15061477,31.96362,33
15061761,27.05755,22
15061336,32.47998,36
15061386,32.53615,33
15061305,32.55935,30
15061676,34.07538,36
15061523,28.7612,23
15061763,31.20942,36
15061385,28.93221,23
15062133,31.71847,22
15061333,33.21612,42
15061627,33.98951,28
15061731,32.01195,38
15061641,39.45143,33
15061330,33.72521,43
15061626,33.46381,22
15062147,30.84594,26
15061487,30.39428,36
15060536,31.34139,33
15061261,33.31002,34
15061389,32.00613,33
15060101,27.00062,23
15061397,28.98536,33
15061551,32.16832,36
15061539,28.96179,28
15062115,32.30745,36
15061361,34.11246,22
15061669,31.54566,37
15062359,32.72963,33
15061690,32.02877,36
15061308,32.01877,34
15062372,33.11622,37
15061342,34.06858,33
15061281,33.81079,38
15061932,31.24803,36
15061370,34.90165,39
15061630,26.55736,22
15061789,32.23418,36
15061666,32.66229,34
15062143,33.97953,23
15061297,32.93948,11
15061907,31.09262,38
15061538,28.92707,22
15062371,31.99249,33
15061685,34.04933,33
15062081,31.67608,36
15061969,31.7025,36
15061498,31.90739,42
15061271,33.86506,36
15062344,32.73199,28
15061279,34.33716,22
15062144,28.97753,36
15061722,33.60015,43
15061768,33.94933,33
15061557,33.38431,37
15061434,30.85223,58
15060072,33.66683,33
15061405,34.54178,36
15062052,34.90705,22
15062098,34.91898,42
15061916,34.03462,55
15061377,33.36987,38
15061633,32.82081,28
15061702,37.01202,22
15061614,34.42451,36
15061368,32.55148,28
15061520,29.57952,22
15060082,30.43985,36
15061656,31.28999,33
15061331,32.6051,36
15061327,33.43275,38
15062074,32.35206,33
15061300,32.28912,36
15061776,32.29344,36
15061462,36.83159,36
15061302,32.22199,36
15061957,33.28565,36
15061514,33.39942,28
15060909,31.30815,28
15062063,34.08006,26
15060090,31.99709,28
15061301,33.18454,36
15061423,34.66801,28
15061453,32.3919,36
15060215,34.60512,22
15062119,32.96633,36
15061537,26.93537,28
15061667,34.0823,33
15062123,27.85146,33
15061710,26.51471,28
15061258,32.84123,23
15061443,32.23325,33
15060050,32.16205,33
15060110,28.97194,22
15062053,33.32779,28
15061764,29.22612,33
15061799,31.30935,33
