SAMPLES,GEBVs(BB),ACTUAL
15062362,94.51,94
15061954,93.778,94
15062339,93.784,95
15061482,94.333,94
15062104,94.094,94
15061707,93.431,96
15061567,92.334,94
15061964,94.924,94
15061488,87.709,94
15061438,87.749,48
15061814,91.488,94
15061721,94.699,96
15061601,94.534,96
15061719,94.921,96
15061629,93.412,96
15061477,95.316,94
15061761,94.938,95
15061336,92.463,94
15061386,93.155,96
15061305,92.799,94
15061676,94.534,96
15061523,94.705,94
15061763,93.012,96
15061385,94.708,94
15062133,95.49,95
15061333,93.956,96
15061627,92.355,96
15061731,87.755,96
15061641,91.511,96
15061330,91.67,94
15061626,93.801,96
15062147,94.478,96
15061487,95.569,96
15060536,93.613,95
15061261,95.185,95
15061389,87.719,94
15060101,94.897,95
15061397,94.7,96
15061551,94.403,94
15061539,94.707,96
15062115,93.684,94
15061361,94.515,96
15061669,93.083,96
15062359,95.332,94
15061690,87.689,94
15061308,87.755,95
15062372,95.158,96
15061342,94.515,96
15061281,94.276,96
15061932,94.419,94
15061370,93.866,96
15061630,94.584,96
15061789,94.355,94
15061666,94.934,94
15062143,94.559,94
15061297,95.153,96
15061907,92.979,48
15061538,94.698,94
15062371,94.657,96
15061685,94.581,96
15062081,92.12,96
15061969,94.645,94
15061498,88.509,96
15061271,90.364,96
15062344,94.171,96
15061279,94.258,39
15062144,94.712,96
15061722,94.556,94
15061768,94.822,96
15061557,95.147,95
15061434,94.488,96
15060072,94.227,95
15061405,95.442,94
15062052,93.753,95
15062098,93.786,94
15061916,94.536,96
15061377,95.153,94
15061633,94.629,94
15061702,93.862,96
15061614,95.458,96
15061368,93.164,96
15061520,94.184,94
15060082,93.232,94
15061656,94.431,95
15061331,93.134,96
15061327,95.189,96
15062074,92.11,94
15061300,93.697,94
15061776,94.392,96
15061462,94.866,96
15061302,93.062,94
15061957,93.775,96
15061514,95.226,96
15060909,94.464,94
15062063,94.513,94
15060090,94.644,95
15061301,92.37,36
15061423,94.435,94
15061453,93.68,94
15060215,95.511,95
15062119,94.079,94
15061537,94.936,94
15061667,94.585,96
15062123,95.331,96
15061710,94.585,96
15061258,95.003,95
15061443,94.351,94
15060050,94.65,95
15060110,94.699,95
15062053,94.279,95
15061764,94.592,96
15061799,93.007,95
